Path ,Open Time (ms),Close Time (ms),Leak Time (ms) ,Pressure Head,Flow Amount (uL),Time (s),Rate (uL/min),Macro_Name,Overflow
3 Pump pumping from Buffer to LV1 ( 20 reps each),,,,,,,,,
LV1,30,30,50,1,1.775,20,5.325,EXP1,
LV1,30,30,100,1,2.305,20,6.915,EXP2,
LV1,30,30,200,1,2.675,20,8.025,EXP3,
LV2,30,30,50,1.5,2.16,20,6.48,EXP13,
LV1,30,30,100,1.5,2.69,20,8.07,EXP14,
LV1,30,30,200,1.5,3.33,20,9.99,EXP15,
LV1,30,30,300,1.5,4.16,20,12.48,EXP16,
LV1,30,30,50,2,2.3,20,6.9,EXP29,Some
LV1,30,30,100,2,3.281,20,9.843,EXP30,Medium
LV1,30,30,200,2,2.775,20,8.325,EXP31,
LV1,30,30,300,2,4.54,20,13.62,EXP32,
LV1,40,40,50,1,1.985,20,5.955,EXP4,
LV1,40,40,100,1,2.265,20,6.795,EXP5,
LV1,40,40,200,1,2.57,20,7.71,EXP6,
LV1,40,40,50,1.5,2.412,20,7.236,EXP17,
LV1,40,40,100,1.5,2.65,20,7.95,EXP18,
LV1,40,40,200,1.5,3.575,20,10.725,EXP19,
LV1,40,40,300,1.5,4.7,20,14.1,EXP20,
LV1,40,40,50,2,2.68,20,8.04,EXP33,
LV1,40,40,100,2,3.5,20,10.5,EXP34,Some
LV1,40,40,200,2,4.22,20,12.66,EXP35,Medium
LV1,40,40,300,2,4.3,20,12.9,EXP36,High
LV1,50,50,50,1,1.96,20,5.88,EXP7,
LV1,50,50,100,1,2.135,20,6.405,EXP8,
LV1,50,50,200,1,2.705,20,8.115,EXP9,
LV1,50,50,50,1.5,2.475,20,7.425,EXP21,
LV1,50,50,100,1.5,2.85,20,8.55,EXP22,
LV1,50,50,200,1.5,3.92,20,11.76,EXP23,
LV1,50,50,300,1.5,4.68,20.6,13.63106796,EXP24,
LV1,50,50,50,2,2.73,20,8.19,EXP37,
LV1,50,50,100,2,3.66,20,10.98,EXP38,Some
LV1,50,50,200,2,4.045,20,12.135,EXP39,
LV1,50,50,300,2,4.422,20.6,12.87961165,EXP40,
LV1,60,60,50,1,1.985,20,5.955,EXP10,
LV1,60,60,100,1,2.11,20,6.33,EXP11,
LV1,60,60,200,1,2.465,20,7.395,EXP12,
LV1,60,60,50,1.5,2.27,20,6.81,EXP25,
LV1,60,60,100,1.5,2.91,20,8.73,EXP26,
LV1,50,50,200,1.5,3.57,20.2,10.6039604,EXP27,
LV1,50,50,300,1.5,4.085,22.2,11.04054054,EXP28,
LV1,60,60,50,2,2.933,20,8.799,EXP41,
LV1,60,60,100,2,3.555,20,10.665,EXP42,
LV1,60,60,200,2,4.175,20.2,12.4009901,EXP43,
LV1,60,60,300,2,4.35,22.2,11.75675676,EXP44,
